"Date","Price","Open","High","Low","Vol.","Change %"
"11/22/2012","1,085.21","1,082.50","1,086.19","1,080.20","","0.30%"
"11/21/2012","1,082.00","1,083.08","1,084.57","1,081.65","","-0.05%"
"11/20/2012","1,082.58","1,086.50","1,086.50","1,080.95","","-0.31%"
"11/19/2012","1,086.00","1,092.50","1,092.50","1,085.70","","-0.55%"
"11/16/2012","1,092.00","1,088.71","1,092.87","1,086.97","","0.34%"
"11/15/2012","1,088.31","1,086.50","1,089.41","1,085.97","","0.21%"
"11/14/2012","1,086.00","1,089.84","1,089.84","1,084.75","","-0.32%"
"11/13/2012","1,089.44","1,090.00","1,091.25","1,088.70","","-0.03%"
"11/12/2012","1,089.75","1,088.00","1,090.43","1,087.18","","0.21%"
"11/09/2012","1,087.50","1,089.37","1,092.82","1,086.95","","-0.13%"
"11/08/2012","1,088.97","1,088.75","1,091.77","1,086.65","","0.23%"
"11/07/2012","1,086.50","1,090.22","1,091.35","1,085.22","","-0.30%"
"11/06/2012","1,089.82","1,091.00","1,092.55","1,090.07","","-0.09%"
"11/05/2012","1,090.80","1,091.65","1,093.47","1,090.90","","0.01%"
"11/02/2012","1,090.70","1,090.90","1,092.75","1,090.43","","0.04%"
"11/01/2012","1,090.27","1,090.32","1,093.04","1,090.02","","0.03%"
"10/31/2012","1,089.92","1,091.35","1,091.53","1,089.55","","-0.11%"
"10/30/2012","1,091.15","1,098.01","1,098.01","1,090.33","","-0.57%"
"10/29/2012","1,097.46","1,097.58","1,098.16","1,094.35","","0.04%"
"10/26/2012","1,097.03","1,097.25","1,098.45","1,094.85","","-0.09%"
"10/25/2012","1,098.00","1,103.20","1,103.50","1,097.65","","-0.50%"
"10/24/2012","1,103.50","1,105.75","1,106.15","1,102.60","","0.04%"
"10/23/2012","1,103.10","1,101.30","1,103.55","1,100.65","","-0.09%"
"10/22/2012","1,104.10","1,105.66","1,106.75","1,103.68","","-0.10%"
"10/19/2012","1,105.26","1,105.05","1,106.75","1,102.77","","0.06%"
"10/18/2012","1,104.65","1,104.78","1,105.80","1,103.78","","0.01%"
"10/17/2012","1,104.49","1,106.59","1,106.59","1,103.60","","-0.15%"
"10/16/2012","1,106.10","1,110.50","1,110.50","1,105.93","","-0.35%"
"10/15/2012","1,110.00","1,111.00","1,113.90","1,109.93","","-0.05%"
"10/12/2012","1,110.50","1,113.17","1,113.60","1,109.78","","-0.19%"
"10/11/2012","1,112.57","1,114.49","1,117.53","1,112.59","","-0.11%"
"10/10/2012","1,113.82","1,111.62","1,115.55","1,111.62","","0.23%"
"10/09/2012","1,111.22","1,111.74","1,112.21","1,109.58","","-0.01%"
"10/08/2012","1,111.34","1,110.42","1,112.99","1,109.35","","0.14%"
"10/05/2012","1,109.82","1,112.32","1,112.34","1,107.89","","-0.16%"
"10/04/2012","1,111.63","1,113.46","1,114.47","1,111.89","","-0.11%"
"10/03/2012","1,112.86","1,113.48","1,113.48","1,113.46","","0.00%"
"10/02/2012","1,112.88","1,112.59","1,114.25","1,111.05","","0.08%"
"10/01/2012","1,111.99","1,113.27","1,114.27","1,112.54","","-0.10%"
