Date,Price,Open,High,Low,Change %
2010-01-26,3.4608253139390412,3.4608253139390412,3.4608253139390412,3.4608253139390412,-0.25%
2010-01-27,3.4627076257180374,3.4627076257180374,3.4627076257180374,3.4627076257180374,0.80%
2010-01-28,3.464491607259125,3.464491607259125,3.464491607259125,3.464491607259125,-0.22%
2010-01-29,3.4657205312091137,3.4657205312091137,3.4657205312091137,3.4657205312091137,-1.48%
2010-02-01,3.467613835714053,3.467613835714053,3.467613835714053,3.467613835714053,1.90%
2010-02-02,3.4693290996018824,3.4693290996018824,3.4693290996018824,3.4693290996018824,-0.44%
2010-02-03,3.471693954776343,3.471693954776343,3.471693954776343,3.471693954776343,1.84%
2010-02-04,3.4730701172183576,3.4730701172183576,3.4730701172183576,3.4730701172183576,-2.62%
2010-02-05,3.4740445317958946,3.4740445317958946,3.4740445317958946,3.4740445317958946,-1.08%
2010-02-08,3.474919699701268,3.474919699701268,3.474919699701268,3.474919699701268,-0.25%
2010-02-09,3.4766319202037033,3.4766319202037033,3.4766319202037033,3.4766319202037033,2.39%
2010-02-10,3.478754959274062,3.478754959274062,3.478754959274062,3.478754959274062,1.18%
2010-02-11,3.4811653277158934,3.4811653277158934,3.4811653277158934,3.4811653277158934,0.84%
2010-02-12,3.4832930094396235,3.4832930094396235,3.4832930094396235,3.4832930094396235,-0.70%
2010-02-17,3.4857975254650335,3.4857975254650335,3.4857975254650335,3.4857975254650335,1.97%
2010-02-18,3.488993530244416,3.488993530244416,3.488993530244416,3.488993530244416,1.93%
2010-02-19,3.491849280500814,3.491849280500814,3.491849280500814,3.491849280500814,-0.81%
2010-02-22,3.4948855683104623,3.4948855683104623,3.4948855683104623,3.4948855683104623,0.56%
2010-02-23,3.4968170311743085,3.4968170311743085,3.4968170311743085,3.4968170311743085,-2.84%
2010-02-24,3.4987889764912268,3.4987889764912268,3.4987889764912268,3.4987889764912268,0.16%
2010-02-25,3.500114442829303,3.500114442829303,3.500114442829303,3.500114442829303,-1.71%
2010-02-26,3.501297368986281,3.501297368986281,3.501297368986281,3.501297368986281,-0.36%
2010-03-01,3.5023590735048375,3.5023590735048375,3.5023590735048375,3.5023590735048375,-0.30%
2010-03-02,3.503410213930656,3.503410213930656,3.503410213930656,3.503410213930656,0.00%
2010-03-03,3.5045802470030325,3.5045802470030325,3.5045802470030325,3.5045802470030325,0.36%
2010-03-04,3.505589386224733,3.505589386224733,3.505589386224733,3.505589386224733,-0.41%
2010-03-05,3.5073446938863806,3.5073446938863806,3.5073446938863806,3.5073446938863806,2.11%
2010-03-08,3.5094705908929873,3.5094705908929873,3.5094705908929873,3.5094705908929873,1.06%
2010-03-09,3.5113663823331516,3.5113663823331516,3.5113663823331516,3.5113663823331516,-0.56%
2010-03-10,3.513452263036774,3.513452263036774,3.513452263036774,3.513452263036774,0.57%
2010-03-11,3.515596989966686,3.515596989966686,3.515596989966686,3.515596989966686,0.21%
2010-03-12,3.51746167334501,3.51746167334501,3.51746167334501,3.51746167334501,-0.70%
2010-03-15,3.5192481021404416,3.5192481021404416,3.5192481021404416,3.5192481021404416,-0.16%
2010-03-16,3.5205789502452642,3.5205789502452642,3.5205789502452642,3.5205789502452642,-1.19%
2010-03-17,3.5217871048698512,3.5217871048698512,3.5217871048698512,3.5217871048698512,-0.30%
2010-03-18,3.523381243205458,3.523381243205458,3.523381243205458,3.523381243205458,1.10%
2010-03-19,3.525068971040448,3.525068971040448,3.525068971040448,3.525068971040448,0.30%
2010-03-22,3.526421501771967,3.526421501771967,3.526421501771967,3.526421501771967,-0.87%
2010-03-23,3.5280192779039536,3.5280192779039536,3.5280192779039536,3.5280192779039536,0.71%
2010-03-24,3.5312628268409814,3.5312628268409814,3.5312628268409814,3.5312628268409814,4.53%
2010-03-25,3.534742755435873,3.534742755435873,3.534742755435873,3.534742755435873,0.70%
2010-03-26,3.537889554555703,3.537889554555703,3.537889554555703,3.537889554555703,-0.77%
2010-03-29,3.5411542945060077,3.5411542945060077,3.5411542945060077,3.5411542945060077,0.39%
2010-03-30,3.544306948885478,3.544306948885478,3.544306948885478,3.544306948885478,-0.21%
2010-03-31,3.547179480834349,3.547179480834349,3.547179480834349,3.547179480834349,-0.65%
2010-04-01,3.550391585356608,3.550391585356608,3.550391585356608,3.550391585356608,0.97%
2010-04-05,3.554765744038688,3.554765744038688,3.554765744038688,3.554765744038688,1.19%
2010-04-06,3.5587580750445444,3.5587580750445444,3.5587580750445444,3.5587580750445444,-0.85%
2010-04-07,3.5617853202316243,3.5617853202316243,3.5617853202316243,3.5617853202316243,-2.35%
2010-04-08,3.565051097325885,3.565051097325885,3.565051097325885,3.565051097325885,0.70%
2010-04-09,3.5681948284046205,3.5681948284046205,3.5681948284046205,3.5681948284046205,-0.23%
2010-04-12,3.570879423590579,3.570879423590579,3.570879423590579,3.570879423590579,-1.11%
2010-04-13,3.57335820446858,3.57335820446858,3.57335820446858,3.57335820446858,-0.47%
2010-04-14,3.5762600767923844,3.5762600767923844,3.5762600767923844,3.5762600767923844,1.18%
2010-04-15,3.578844521498443,3.578844521498443,3.578844521498443,3.578844521498443,-0.75%
2010-04-16,3.580746542405878,3.580746542405878,3.580746542405878,3.580746542405878,-1.72%
2010-04-19,3.582957992092795,3.582957992092795,3.582957992092795,3.582957992092795,0.88%
2010-04-20,3.585087736828771,3.585087736828771,3.585087736828771,3.585087736828771,-0.16%
2010-04-21,3.5866092329627897,3.5866092329627897,3.5866092329627897,3.5866092329627897,-1.55%
2010-04-22,3.5884339940203365,3.5884339940203365,3.5884339940203365,3.5884339940203365,0.86%
2010-04-23,3.5907082543526343,3.5907082543526343,3.5907082543526343,3.5907082543526343,1.25%
2010-04-26,3.5928802845102092,3.5928802845102092,3.5928802845102092,3.5928802845102092,-0.21%
2010-04-27,3.5938764881951566,3.5938764881951566,3.5938764881951566,3.5938764881951566,-3.05%
2010-04-28,3.5955990887795077,3.5955990887795077,3.5955990887795077,3.5955990887795077,2.00%
2010-04-29,3.59693639464737,3.59693639464737,3.59693639464737,3.59693639464737,-0.98%
2010-04-30,3.597553935279078,3.597553935279078,3.597553935279078,3.597553935279078,-1.90%
2010-05-03,3.598493685429552,3.598493685429552,3.598493685429552,3.598493685429552,0.90%
2010-05-04,3.5984887731978135,3.5984887731978135,3.5984887731978135,3.5984887731978135,-2.55%
2010-05-05,3.5979665033430037,3.5979665033430037,3.5979665033430037,3.5979665033430037,-1.45%
2010-05-06,3.5960464625125073,3.5960464625125073,3.5960464625125073,3.5960464625125073,-3.98%
2010-05-07,3.5942947782034325,3.5942947782034325,3.5942947782034325,3.5942947782034325,0.44%
2010-05-10,3.593794338873107,3.593794338873107,3.593794338873107,3.593794338873107,3.63%
2010-05-11,3.593129726851567,3.593129726851567,3.593129726851567,3.593129726851567,-0.48%
2010-05-12,3.592909533303029,3.592909533303029,3.592909533303029,3.592909533303029,1.25%
2010-05-13,3.592353226457604,3.592353226457604,3.592353226457604,3.592353226457604,-0.95%
2010-05-14,3.5909865446843128,3.5909865446843128,3.5909865446843128,3.5909865446843128,-2.32%
2010-05-17,3.5899916660657563,3.5899916660657563,3.5899916660657563,3.5899916660657563,1.04%
2010-05-18,3.5876335693629846,3.5876335693629846,3.5876335693629846,3.5876335693629846,-3.95%
2010-05-19,3.5854680881423167,3.5854680881423167,3.5854680881423167,3.5854680881423167,0.51%
2010-05-20,3.581791834479615,3.581791834479615,3.581791834479615,3.581791834479615,-4.57%
2010-05-21,3.5783511625005744,3.5783511625005744,3.5783511625005744,3.5783511625005744,0.62%
2010-05-24,3.5745666208876594,3.5745666208876594,3.5745666208876594,3.5745666208876594,-1.17%
2010-05-25,3.570441631186721,3.570441631186721,3.570441631186721,3.570441631186721,-1.19%
2010-05-26,3.566676089649176,3.566676089649176,3.566676089649176,3.566676089649176,1.01%
2010-05-27,3.5645897863465543,3.5645897863465543,3.5645897863465543,3.5645897863465543,5.17%
2010-05-28,3.5619869352723406,3.5619869352723406,3.5619869352723406,3.5619869352723406,-1.61%
2010-06-02,3.5598477883919357,3.5598477883919357,3.5598477883919357,3.5598477883919357,2.57%
2010-06-03,3.5579488290405274,3.5579488290405274,3.5579488290405274,3.5579488290405274,0.66%
2010-06-04,3.554466794446295,3.554466794446295,3.554466794446295,3.554466794446295,-4.78%
2010-06-07,3.550402498781295,3.550402498781295,3.550402498781295,3.550402498781295,-1.93%
2010-06-08,3.5468064987414576,3.5468064987414576,3.5468064987414576,3.5468064987414576,1.37%
2010-06-09,3.5431368279765216,3.5431368279765216,3.5431368279765216,3.5431368279765216,-0.34%
2010-06-10,3.540966339270101,3.540966339270101,3.540966339270101,3.540966339270101,4.63%
2010-06-11,3.53790203569726,3.53790203569726,3.53790203569726,3.53790203569726,-2.77%
2010-06-14,3.535156775953171,3.535156775953171,3.535156775953171,3.535156775953171,0.90%
2010-06-15,3.5328766373869094,3.5328766373869094,3.5328766373869094,3.5328766373869094,1.35%
2010-06-16,3.5302012812342642,3.5302012812342642,3.5302012812342642,3.5302012812342642,-1.27%
2010-06-17,3.526856036459522,3.526856036459522,3.526856036459522,3.526856036459522,-2.14%
2010-06-18,3.523852531163605,3.523852531163605,3.523852531163605,3.523852531163605,0.97%
2010-06-21,3.521058013370925,3.521058013370925,3.521058013370925,3.521058013370925,0.56%
2010-06-22,3.517515191629351,3.517515191629351,3.517515191629351,3.517515191629351,-2.41%
2010-06-23,3.513599666281858,3.513599666281858,3.513599666281858,3.513599666281858,-1.30%
2010-06-24,3.509912153276125,3.509912153276125,3.509912153276125,3.509912153276125,0.61%
2010-06-25,3.505932977360671,3.505932977360671,3.505932977360671,3.505932977360671,-1.05%
2010-06-28,3.501127733867735,3.501127733867735,3.501127733867735,3.501127733867735,-2.80%
2010-06-29,3.49567379439804,3.49567379439804,3.49567379439804,3.49567379439804,-2.32%
2010-06-30,3.4900950200578147,3.4900950200578147,3.4900950200578147,3.4900950200578147,-0.61%
2010-07-01,3.484760807594739,3.484760807594739,3.484760807594739,3.484760807594739,0.65%
2010-07-02,3.4797781749625925,3.4797781749625925,3.4797781749625925,3.4797781749625925,1.02%
2010-07-07,3.474865020398022,3.474865020398022,3.474865020398022,3.474865020398022,1.70%
2010-07-08,3.4704783583356975,3.4704783583356975,3.4704783583356975,3.4704783583356975,1.61%
2010-07-09,3.4663542468593294,3.4663542468593294,3.4663542468593294,3.4663542468593294,0.73%
2010-07-12,3.4623706720577316,3.4623706720577316,3.4623706720577316,3.4623706720577316,0.33%
2010-07-13,3.4590038415735447,3.4590038415735447,3.4590038415735447,3.4590038415735447,1.89%
2010-07-14,3.4549342022233733,3.4549342022233733,3.4549342022233733,3.4549342022233733,-2.37%
2010-07-15,3.4503776996683473,3.4503776996683473,3.4503776996683473,3.4503776996683473,-1.74%
2010-07-16,3.445150125883174,3.445150125883174,3.445150125883174,3.445150125883174,-2.40%
2010-07-19,3.4403327716107395,3.4403327716107395,3.4403327716107395,3.4403327716107395,1.23%
2010-07-20,3.4354936997405097,3.4354936997405097,3.4354936997405097,3.4354936997405097,-0.24%
2010-07-21,3.4299863682401535,3.4299863682401535,3.4299863682401535,3.4299863682401535,-2.44%
2010-07-22,3.4250313416267946,3.4250313416267946,3.4250313416267946,3.4250313416267946,1.73%
2010-07-23,3.420802226647799,3.420802226647799,3.420802226647799,3.420802226647799,2.32%
2010-07-26,3.4165753913915085,3.4165753913915085,3.4165753913915085,3.4165753913915085,-0.13%
2010-07-27,3.41291797029951,3.41291797029951,3.41291797029951,3.41291797029951,1.77%
2010-07-28,3.4087098836294674,3.4087098836294674,3.4087098836294674,3.4087098836294674,-1.94%
2010-07-29,3.4045237676978295,3.4045237676978295,3.4045237676978295,3.4045237676978295,-0.07%
2010-07-30,3.3995534437678545,3.3995534437678545,3.3995534437678545,3.3995534437678545,-2.78%
2010-08-02,3.3952096824324105,3.3952096824324105,3.3952096824324105,3.3952096824324105,2.00%
2010-08-03,3.390371835315161,3.390371835315161,3.390371835315161,3.390371835315161,-1.82%
2010-08-04,3.386019930881565,3.386019930881565,3.386019930881565,3.386019930881565,1.51%
2010-08-05,3.381243672566023,3.381243672566023,3.381243672566023,3.381243672566023,-1.59%
2010-08-06,3.375679128117651,3.375679128117651,3.375679128117651,3.375679128117651,-2.89%
2010-08-09,3.3702396024571537,3.3702396024571537,3.3702396024571537,3.3702396024571537,0.25%
2010-08-10,3.364247243131862,3.364247243131862,3.364247243131862,3.364247243131862,-2.16%
2010-08-11,3.357508548405821,3.357508548405821,3.357508548405821,3.357508548405821,-2.93%
2010-08-12,3.351493612784772,3.351493612784772,3.351493612784772,3.351493612784772,2.46%
2010-08-13,3.344802217274953,3.344802217274953,3.344802217274953,3.344802217274953,-2.69%
2010-08-16,3.3371226887367804,3.3371226887367804,3.3371226887367804,3.3371226887367804,-3.96%
2010-08-17,3.330196180967631,3.330196180967631,3.330196180967631,3.330196180967631,2.64%
2010-08-18,3.323308742441631,3.323308742441631,3.323308742441631,3.323308742441631,-0.11%
2010-08-19,3.3158629769148558,3.3158629769148558,3.3158629769148558,3.3158629769148558,-2.39%
2010-08-20,3.3088793525608753,3.3088793525608753,3.3088793525608753,3.3088793525608753,1.51%
2010-08-23,3.301845814642191,3.301845814642191,3.301845814642191,3.301845814642191,-0.46%
2010-08-24,3.293747947054902,3.293747947054902,3.293747947054902,3.293747947054902,-4.38%
2010-08-25,3.2862381106374303,3.2862381106374303,3.2862381106374303,3.2862381106374303,2.05%
2010-08-26,3.278225890781019,3.278225890781019,3.278225890781019,3.278225890781019,-2.28%
2010-08-27,3.271945114263903,3.271945114263903,3.271945114263903,3.271945114263903,6.69%
2010-08-30,3.264562667633148,3.264562667633148,3.264562667633148,3.264562667633148,-4.42%
2010-08-31,3.256656669769153,3.256656669769153,3.256656669769153,3.256656669769153,-2.37%
2010-09-01,3.2499238513222823,3.2499238513222823,3.2499238513222823,3.2499238513222823,4.45%
2010-09-02,3.2437057808856253,3.2437057808856253,3.2437057808856253,3.2437057808856253,1.74%
2010-09-03,3.2383157406521583,3.2383157406521583,3.2383157406521583,3.2383157406521583,2.93%
2010-09-08,3.2325017259927535,3.2325017259927535,3.2325017259927535,3.2325017259927535,2.16%
2010-09-09,3.2278201750060633,3.2278201750060633,3.2278201750060633,3.2278201750060633,4.07%
2010-09-10,3.2235135601619254,3.2235135601619254,3.2235135601619254,3.2235135601619254,1.19%
