Date,Price,Open,High,Low,Vol.,Change %
2013-10-08,147.53,149.0,149.14,147.5,10.39M,-0.99%
2013-10-07,149.0,149.12,149.85,148.91,6.08M,-0.95%
2013-10-04,150.43,149.68,150.56,149.43,6.87M,0.51%
2013-10-03,149.67,150.66,150.76,149.16,10.95M,-0.87%
2013-10-02,150.98,150.9,151.1,150.15,8.90M,-0.42%
2013-10-01,151.62,151.0,151.77,150.77,8.62M,0.41%
2013-09-30,151.0,150.79,151.54,150.45,9.43M,-0.79%
2013-09-27,152.21,152.3,152.44,151.76,6.84M,-0.48%
2013-09-26,152.95,152.7,153.54,152.47,5.03M,0.35%
2013-09-25,152.42,153.26,153.39,152.19,7.19M,-0.42%
2013-09-24,153.06,153.74,154.02,152.95,5.77M,-0.42%
2013-09-23,153.71,154.11,154.32,153.32,8.66M,-0.38%
2013-09-20,154.3,156.16,156.19,154.3,9.38M,-1.29%
2013-09-19,156.32,156.87,156.92,156.22,7.63M,-0.24%
2013-09-18,156.69,155.16,157.06,154.65,9.67M,0.90%
2013-09-17,155.29,155.02,155.51,154.98,4.52M,0.23%
2013-09-16,154.94,155.33,155.49,154.66,6.72M,0.81%
2013-09-13,153.69,153.34,153.8,153.21,4.83M,0.43%
2013-09-12,153.03,153.33,153.41,152.78,5.56M,-0.08%
2013-09-11,153.15,151.82,153.18,151.77,7.05M,0.90%
2013-09-10,151.79,151.47,151.82,151.1,7.92M,0.88%
2013-09-09,150.47,149.5,150.78,149.48,4.41M,0.93%
2013-09-06,149.09,149.7,149.97,147.77,9.00M,-0.02%
2013-09-05,149.12,149.18,149.71,149.02,6.02M,-0.04%
2013-09-04,149.18,148.02,149.41,147.82,4.58M,0.72%
2013-08-29,148.25,148.02,148.98,147.82,4.70M,0.14%
2013-08-28,148.04,147.42,148.44,147.37,4.84M,0.37%
2013-08-27,147.5,148.19,148.74,147.41,11.44M,-1.15%
2013-08-26,149.21,149.83,150.27,149.19,5.77M,-0.41%
2013-08-23,149.83,149.59,150.01,149.06,9.60M,0.29%
2013-08-22,149.4,148.86,149.61,148.77,4.23M,0.51%
2013-08-21,148.64,149.44,149.92,148.5,9.51M,-0.74%
2013-08-20,149.75,149.91,150.41,149.56,3.85M,0.01%
2013-08-19,149.74,150.3,150.72,149.66,4.18M,-0.50%
2013-08-16,150.5,150.58,151.06,150.19,7.04M,-0.41%
