Date,resid,log_resid,diff_log_resid
2015-12-31,0.0712756857151162,-2.6412000235335564,0.03183089359026603
2016-01-04,0.0732289776379968,-2.6141640669789368,0.027035956554619656
2016-01-05,0.0752089991179448,-2.5874843860645145,0.0266796809144223
2016-01-06,0.076373347932481,-2.572121492722943,0.015362893341571482
2016-01-07,0.0773326165934571,-2.5596394642149414,0.012482028508001619
2016-01-08,0.0781053607595368,-2.5496965848053215,0.009942879409619909
2016-01-11,0.0795293069066199,-2.531629684918163,0.01806689988715826
2016-01-12,0.0803024823355567,-2.521954745237529,0.009674939680634154
2016-01-13,0.080997529828716,-2.513336620716487,0.008618124521042159
2016-01-14,0.081636985090602,-2.5054728710388843,0.007863749677602616
2016-01-15,0.0816570395108642,-2.505227247594769,0.00024562344411549475
2016-01-20,0.0813390924198713,-2.5091285364228035,-0.0039012888280347546
2016-01-21,0.0812760964304058,-2.509903322505976,-0.0007747860831726072
2016-01-22,0.081448111807919,-2.5077891264260117,0.0021141960799644366
2016-01-25,0.0810744242865713,-2.512387727812163,-0.004598601386151202
2016-01-26,0.0808062197547472,-2.5157013392549645,-0.003313611442801623
2016-01-27,0.0806277484754214,-2.5179124148296084,-0.0022110755746438393
2016-01-28,0.0802908703189997,-2.5220993591506864,-0.004186944321078023
2016-01-29,0.079486976614531,-2.5321620869106063,-0.010062727759919898
2016-02-01,0.0789552008678567,-2.5388746649865097,-0.006712578075903419
2016-02-02,0.0776416930204255,-2.5556507148857746,-0.016776049899264844
2016-02-03,0.0767048811696604,-2.5677899328729583,-0.012139217987183759
2016-02-04,0.0755554934804864,-2.582887879730339,-0.015097946857380862
2016-02-05,0.0742047884561628,-2.6009265964414268,-0.018038716711087588
2016-02-08,0.0721452988332393,-2.629073154121609,-0.02814655768018204
2016-02-09,0.0699030827284531,-2.660645528734105,-0.03157237461249629
2016-02-10,0.0670433356328067,-2.702416068186803,-0.04177053945269771
2016-02-11,0.0642960435741652,-2.744257180360036,-0.041841112173233164
2016-02-12,0.0623914187587061,-2.774327532956013,-0.030070352595977123
2016-02-17,0.061289631383109,-2.7921445958098268,-0.01781706285381368
2016-02-18,0.0593544941965392,-2.8242274371785343,-0.03208284136870754
2016-02-19,0.0572646331732112,-2.8600720679294316,-0.03584463075089728
2016-02-22,0.0555191940348527,-2.8910264795522718,-0.030954411622840183
2016-02-23,0.0532938162504808,-2.9319349723555446,-0.0409084928032728
2016-02-24,0.0513288657650136,-2.969501999575679,-0.037567027220134275
2016-02-25,0.0490737903809213,-3.0144301874999284,-0.044928187924249574
2016-02-26,0.0472795124005346,-3.0516782189549314,-0.037248031455002995
2016-02-29,0.0451857085234178,-3.096974425250596,-0.045296206295664554
2016-03-01,0.0437502060792445,-3.129258955806876,-0.03228453055628
2016-03-02,0.0425530371987144,-3.157004046986898,-0.027745091180022108
2016-03-03,0.0410221220885678,-3.1936437946538785,-0.036639747666980416
