Date,Price,Open,High,Low,Vol.,Change %
2015-07-07,"1,152.60","1,168.80","1,170.00","1,146.80",198530.0,-1.76%
2015-07-03,"1,173.20","1,173.20","1,174.40","1,161.90",141900.0,0.83%
2015-07-02,"1,163.50","1,167.70","1,169.20","1,155.80",144730.0,-0.50%
2015-07-01,"1,169.30","1,172.40","1,174.40","1,166.70",95180.0,-0.21%
2015-06-30,"1,171.80","1,179.80","1,180.00","1,165.40",148190.0,-0.61%
2015-06-29,"1,179.00","1,182.50","1,187.60","1,173.20",145710.0,0.49%
2015-06-26,"1,173.20","1,172.50","1,178.00","1,167.10",107920.0,0.12%
2015-06-25,"1,171.80","1,174.10","1,177.30","1,170.50",88850.0,-0.09%
2015-06-24,"1,172.90","1,177.60","1,179.70","1,168.10",118450.0,-0.31%
2015-06-23,"1,176.60","1,185.30","1,187.70","1,175.60",122250.0,-0.63%
2015-06-22,"1,184.10","1,199.70","1,200.80","1,181.60",127150.0,-1.48%
2015-06-19,"1,201.90","1,201.80","1,203.90","1,198.00",86060.0,-0.01%
2015-06-18,"1,202.00","1,184.20","1,205.70","1,183.10",190690.0,2.14%
2015-06-17,"1,176.80","1,181.10","1,188.80","1,173.90",101550.0,-0.35%
2015-06-16,"1,180.90","1,185.30","1,187.40","1,175.40",100200.0,-0.41%
2015-06-15,"1,185.80","1,180.00","1,190.20","1,171.90",129830.0,0.56%
2015-06-12,"1,179.20","1,180.80","1,183.70","1,175.60",86350.0,-0.10%
2015-06-11,"1,180.40","1,185.70","1,187.40","1,174.80",114930.0,-0.52%
2015-06-10,"1,186.60","1,175.80","1,191.80","1,174.30",124680.0,0.76%
2015-06-09,"1,177.60","1,173.20","1,182.30","1,171.80",91630.0,0.34%
2015-06-08,"1,173.60","1,170.80","1,177.10","1,168.50",107090.0,0.47%
2015-06-05,"1,168.10","1,176.50","1,178.00","1,162.10",150680.0,-0.60%
2015-06-04,"1,175.20","1,185.80","1,186.60","1,172.40",155460.0,-0.82%
2015-06-03,"1,184.90","1,193.80","1,195.60","1,179.10",124180.0,-0.80%
2015-06-02,"1,194.40","1,189.50","1,196.40","1,185.80",111470.0,0.48%
2015-06-01,"1,188.70","1,189.80","1,204.70","1,184.00",171250.0,-0.09%
2015-05-29,"1,189.80","1,188.10","1,194.40","1,186.00",102170.0,0.08%
2015-05-28,"1,188.80","1,188.00","1,192.80","1,180.20",150000.0,0.27%
2015-05-27,"1,185.60","1,186.70","1,190.40","1,183.00",200220.0,-0.11%
2015-05-25,"1,186.90","1,205.20","1,208.20","1,184.80",244620.0,-1.42%
2015-05-22,"1,204.00","1,206.00","1,214.60","1,201.00",142930.0,-0.01%
2015-05-21,"1,204.10","1,209.40","1,212.40","1,200.80",139670.0,-0.38%
2015-05-20,"1,208.70","1,207.70","1,213.20","1,202.70",127890.0,0.17%
2015-05-19,"1,206.70","1,225.40","1,225.50","1,205.10",178960.0,-1.70%
2015-05-18,"1,227.60","1,222.80","1,232.00","1,221.20",120820.0,0.19%
2015-05-15,"1,225.30","1,220.90","1,225.80","1,210.60",133240.0,0.01%
2015-05-14,"1,225.20","1,215.00","1,227.70","1,211.90",177840.0,0.57%
2015-05-13,"1,218.20","1,192.50","1,218.50","1,190.40",241720.0,2.16%
2015-05-12,"1,192.40","1,182.50","1,196.30","1,179.70",139260.0,0.79%
2015-05-11,"1,183.00","1,189.00","1,190.90","1,178.00",128100.0,-0.50%
2015-05-08,"1,188.90","1,183.70","1,193.00","1,180.50",143610.0,0.57%
2015-05-07,"1,182.20","1,191.30","1,192.00","1,177.90",134940.0,-0.68%
2015-05-06,"1,190.30","1,192.50","1,196.90","1,187.40",105950.0,-0.24%
2015-05-05,"1,193.20","1,187.50","1,199.30","1,184.90",109750.0,0.54%
2015-05-04,"1,186.80","1,176.60","1,192.10","1,176.60",107750.0,1.05%
2015-05-01,"1,174.50","1,183.70","1,184.40","1,168.40",118480.0,-0.67%
2015-04-30,"1,182.40","1,204.50","1,207.40","1,176.00",212930.0,-2.28%
2015-04-29,"1,210.00","1,211.40","1,213.50","1,200.70",141080.0,-0.32%
2015-04-28,"1,213.90","1,201.60","1,214.90","1,198.60",157580.0,0.89%
2015-04-27,"1,203.20","1,179.30","1,206.70","1,177.60",207200.0,2.40%
2015-04-24,"1,175.00","1,193.00","1,195.40","1,174.10",156380.0,-1.62%
2015-04-23,"1,194.30","1,186.90","1,197.40","1,183.60",118110.0,0.62%
2015-04-22,"1,186.90","1,202.20","1,204.40","1,185.00",152180.0,-1.35%
2015-04-21,"1,203.10","1,195.80","1,203.70","1,192.50",104710.0,0.79%
2015-04-20,"1,193.70","1,204.40","1,209.00","1,190.80",137020.0,-0.78%
2015-04-17,"1,203.10","1,198.60","1,207.80","1,197.00",111550.0,0.43%
2015-04-16,"1,198.00","1,201.80","1,208.80","1,194.30",157420.0,-0.27%
2015-04-15,"1,201.30","1,192.20","1,204.40","1,188.30",129200.0,0.73%
2015-04-14,"1,192.60","1,198.80","1,201.30","1,183.50",161060.0,-0.56%
2015-04-13,"1,199.30","1,207.20","1,209.30","1,196.10",109550.0,-0.44%
2015-04-10,"1,204.60","1,193.80","1,210.60","1,192.90",124840.0,0.92%
2015-04-09,"1,193.60","1,202.60","1,203.30","1,192.40",110160.0,-0.79%
2015-04-08,"1,203.10","1,208.70","1,212.50","1,197.40",116320.0,-0.62%
2015-04-07,"1,210.60","1,214.70","1,215.90","1,207.50",85860.0,-0.66%
2015-04-06,"1,218.60","1,212.60","1,224.50","1,212.60",106010.0,1.47%
2015-04-02,"1,200.90","1,204.30","1,207.40","1,194.80",115650.0,-0.60%
2015-04-01,"1,208.20","1,183.20","1,208.70","1,180.50",151140.0,2.11%
2015-03-31,"1,183.20","1,185.50","1,190.60","1,178.20",114970.0,-0.18%
2015-03-30,"1,185.30","1,198.60","1,199.60","1,182.20",131450.0,-1.21%
2015-03-27,"1,199.80","1,203.80","1,205.60","1,191.70",172260.0,-0.42%
2015-03-26,"1,204.80","1,195.40","1,219.50","1,193.80",245370.0,0.65%
2015-03-25,"1,197.00","1,192.50","1,199.30","1,186.10",185930.0,0.47%
2015-03-24,"1,191.40","1,188.50","1,194.50","1,184.70",162920.0,0.31%
2015-03-23,"1,187.70","1,183.20","1,191.00","1,178.60",162530.0,0.26%
2015-03-20,"1,184.60","1,170.40","1,187.40","1,167.90",167530.0,1.33%
2015-03-19,"1,169.00","1,166.10","1,177.00","1,158.60",157060.0,1.54%
2015-03-18,"1,151.30","1,148.10","1,175.10","1,144.90",188480.0,0.27%
2015-03-17,"1,148.20","1,153.70","1,159.30","1,141.60",159620.0,-0.43%
2015-03-16,"1,153.20","1,157.90","1,163.30","1,149.30",123260.0,0.07%
2015-03-13,"1,152.40","1,152.60","1,160.90","1,150.40",122680.0,0.04%
2015-03-12,"1,151.90","1,153.70","1,165.70","1,147.50",159540.0,0.11%
2015-03-11,"1,150.60","1,161.10","1,164.30","1,146.50",161560.0,-0.82%
2015-03-10,"1,160.10","1,165.60","1,169.60","1,153.80",178080.0,-0.55%
2015-03-09,"1,166.50","1,169.60","1,174.40","1,164.80",123610.0,0.19%
